year,value,race
2009,6.4,White
2010,6.9,White
2011,7,White
2012,6.9,White
2013,7,White
2014,7.7,White
2015,8.4,White
2016,8.3,White
2017,8.6,White
2018,9.3,White
2009,8.4,Black
2010,8.9,Black
2011,9,Black
2012,8.9,Black
2013,8.9,Black
2014,9.3,Black
2015,10,Black
2016,9.9,Black
2017,10.6,Black
2018,11.7,Black
2009,4.8,Hispanic
2010,5.4,Hispanic
2011,5.4,Hispanic
2012,5.6,Hispanic
2013,5.7,Hispanic
2014,6.1,Hispanic
2015,6.3,Hispanic
2016,6.6,Hispanic
2017,7.5,Hispanic
2018,8.1,Hispanic
2009,3.8,Other
2010,4.4,Other
2011,4.3,Other
2012,4.4,Other
2013,4.6,Other
2014,4.8,Other
2015,5.1,Other
2016,5.4,Other
2017,5.5,Other
2018,6.4,Other
2009,5.7,Texas
2010,6.3,Texas
2011,6.3,Texas
2012,6.4,Texas
2013,6.4,Texas
2014,6.9,Texas
2015,7.3,Texas
2016,7.5,Texas
2017,8.1,Texas
2018,8.8,Texas
