ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
24719,2011,2011,2011,TX,Texas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity †,,,VALUE,Value,27.2,,,25.9,28.5,"14,225",31.82724041,-99.42677021,PA,PA1,Q047,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
25139,2012,2012,2012,TX,Texas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity †,,,VALUE,Value,27.2,,,25.9,28.6,"9,113",31.82724041,-99.42677021,PA,PA1,Q047,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
25213,2013,2013,2013,TX,Texas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity †,,,VALUE,Value,30.1,,,28.6,31.5,"10,100",31.82724041,-99.42677021,PA,PA1,Q047,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
25274,2014,2014,2014,TX,Texas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity †,,,VALUE,Value,27.6,,,26.4,28.8,"15,394",31.82724041,-99.42677021,PA,PA1,Q047,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
34826,2015,2015,2015,TX,Texas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity †,,,VALUE,Value,29.5,,,28,31,"12,938",31.82724041,-99.42677021,PA,PA1,Q047,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
43567,2016,2016,2016,TX,Texas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity †,,,VALUE,Value,25.2,,,23.7,26.7,"11,688",31.82724041,-99.42677021,PA,PA1,Q047,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
47876,2017,2017,2017,TX,Texas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity †,,,VALUE,Value,32.1,,,30.2,34,"11,142",31.82724041,-99.42677021,PA,PA1,Q047,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
58537,2018,2018,2018,TX,Texas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity †,,,VALUE,Value,25.6,,,23.9,27.5,"11,194",31.82724041,-99.42677021,PA,PA1,Q047,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,†,"Respondents were classified as participating in no leisure-time physical activity if they responded “no” to the following question: “During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?” Adults aged =18 years.Respondents with missing data were excluded.",,Footnote
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral Risk Factor Surveillance System ,https://www.cdc.gov/brfss/,Data Source
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centers for Disease Control and Prevention.National Center for Chronic Disease Prevention and Health Promotion, Division of Nutrition, Physical Activity, and Obesity.Data, Trend and Maps [online].",/nccdphp/dnpao/data-trends-maps/index.html,Suggested Citation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breastfeeding,/breastfeeding/index.htm,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Division of Nutrition, Physical Activity, and Obesity",/nccdphp/dnpao/index.html,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical Activity,/physicalactivity/index.html,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chronic Disease Prevention and Health Promotion,/chronicdisease/index.htm,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overweight and Obesity,/obesity/index.html,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State and Local Programs,/nccdphp/dnpao/state-local-programs/index.html,Related Links
